Date,A,AA,AMZN,AAPL
2022-02-15,135.910004,74.040001,3130.209961,172.789993
2022-02-16,135.149994,77.839996,3162.01001,172.550003
2022-02-17,130.25,76.470001,3093.050049,168.880005
2022-02-18,132.050003,78.199997,3052.030029,167.300003
2022-02-22,130.490005,74.089996,3003.949951,164.320007
2022-02-23,126.0,75.32,2896.540039,160.070007
2022-02-24,128.149994,73.300003,3027.159912,162.740005
2022-02-25,133.729996,77.849998,3075.77002,164.850006
2022-02-28,130.360001,75.339996,3071.26001,165.119995
2022-03-01,131.929993,79.779999,3022.840088,163.199997
2022-03-02,133.160004,82.559998,3041.050049,166.559998
2022-03-03,137.169998,82.889999,2957.969971,166.229996
2022-03-04,133.889999,90.660004,2912.820068,163.169998
2022-03-07,130.339996,85.400002,2749.060059,159.300003
2022-03-08,129.320007,82.370003,2720.290039,157.440002
2022-03-09,133.259995,79.519997,2785.580078,162.949997
2022-03-10,134.330002,82.940002,2936.350098,158.520004
2022-03-11,130.309998,79.040001,2910.48999,154.729996
2022-03-14,130.309998,73.5,2910.48999,154.729996
